Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Elec_8x10,2,220uF,
"C2, C4",1206,2,100nF,
"D1, D2",D_SMA_Handsoldering,2,SS14,
D3,1206,1,LED,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J4, J5, J6, J7, J8, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,24,Conn_01x03_Pin,
J3,KF7.62_2P,1,Screw_Terminal_01x02,
L1,L_12x12mm_H8mm,1,68uH,
"M1, M2, M3",SOIC-16W_5.3x10.2mm_P1.27mm,3,74HC4051,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R3, R5, R6, R7, R8, R9",1206,27,R,
R4,1206,1,1K,
U1,MODULE_ESP32-DEVKITC,1,ESP32-DEVKITC-v4,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U3, U4, U5, U6, U7, U8, U9",DIP-4_W7.62mm_SMDSocket_SmallPads,24,PC817,
U2,TO-263-5_TabPin3,1,LM2596S-5,
