Designator,Mid X,Mid Y,Rotation,Layer
C1,97.29625,-51.0,270.0,top
C2,114.0425,-60.595,270.0,top
C3,95.145,-63.65,90.0,top
C4,111.445,-51.8,90.0,top
D1,106.0475,-50.25,90.0,top
D2,103.7975,-62.66,270.0,top
D3,109.22,-60.565,90.0,top
J1,181.43,-47.2,270.0,top
J10,110.641744,-112.7,270.0,top
J11,118.476526,-112.7,270.0,top
J12,126.311308,-112.7,270.0,top
J13,134.14609,-112.7,270.0,top
J14,141.980872,-112.7,270.0,top
J15,149.815654,-112.7,270.0,top
J16,157.650436,-112.7,270.0,top
J17,165.485218,-112.7,270.0,top
J18,173.32,-112.7,270.0,top
J19,181.154782,-112.7,270.0,top
J2,187.83,-47.2,270.0,top
J20,188.989564,-112.7,270.0,top
J21,196.824346,-112.7,270.0,top
J22,204.659128,-112.7,270.0,top
J23,212.49391,-112.7,270.0,top
J24,220.328692,-112.7,270.0,top
J25,228.163474,-112.7,270.0,top
J26,235.998256,-112.7,270.0,top
J27,243.833052,-112.7,270.0,top
J3,199.9,-47.8,180.0,top
J4,63.633052,-112.7,270.0,top
J5,71.467834,-112.7,270.0,top
J6,79.302616,-112.7,270.0,top
J7,87.137398,-112.7,270.0,top
J8,94.97218,-112.7,270.0,top
J9,102.8,-112.7,270.0,top
L1,78.1,-55.4,90.0,top
M1,98.645,-80.9,90.0,top
M2,154.545,-80.9,90.0,top
M3,209.545,-80.945,90.0,top
R1,136.92,-79.5,90.0,top
R10,109.345,-90.5,90.0,top
R11,115.85595,-90.5,90.0,top
R12,123.145,-90.5,90.0,top
R13,130.145,-90.5,90.0,top
R14,137.045,-90.5,90.0,top
R15,144.045,-90.5,90.0,top
R16,150.945,-90.5,90.0,top
R17,158.285963,-90.5,90.0,top
R18,164.845,-90.5,90.0,top
R19,171.845,-90.5,90.0,top
R2,140.21,-79.5,90.0,top
R20,178.991438,-90.5,90.0,top
R21,185.893263,-90.5,90.0,top
R22,192.795088,-90.5,90.0,top
R23,199.696913,-90.5,90.0,top
R24,206.598743,-90.5,90.0,top
R25,213.545,-90.5,90.0,top
R26,220.545,-90.5,90.0,top
R27,227.445,-90.5,90.0,top
R28,234.544983,-90.5,90.0,top
R3,143.5,-79.5,90.0,top
R4,116.42,-51.7,90.0,top
R5,74.445,-90.5,90.0,top
R6,81.346825,-90.5,90.0,top
R7,88.24865,-90.5,90.0,top
R8,95.150475,-90.5,90.0,top
R9,102.0523,-90.5,90.0,top
U1,152.455,-59.8,90.0,top
U10,121.84609,-99.8,90.0,top
U11,128.805872,-99.8,90.0,top
U12,135.765654,-99.8,90.0,top
U13,142.725436,-99.8,90.0,top
U14,149.685218,-99.8,90.0,top
U15,156.645,-99.8,90.0,top
U16,163.604782,-99.8,90.0,top
U17,170.564564,-99.8,90.0,top
U18,177.524346,-99.8,90.0,top
U19,184.484128,-99.8,90.0,top
U2,77.875,-70.025,180.0,top
U20,191.44391,-99.8,90.0,top
U21,198.403692,-99.8,90.0,top
U22,205.363474,-99.8,90.0,top
U23,212.323256,-99.8,90.0,top
U24,219.283038,-99.8,90.0,top
U25,226.24282,-99.8,90.0,top
U26,233.202616,-99.8,90.0,top
U3,73.127616,-99.8,90.0,top
U4,80.087398,-99.8,90.0,top
U5,87.04718,-99.8,90.0,top
U6,94.006962,-99.8,90.0,top
U7,100.966744,-99.8,90.0,top
U8,107.926526,-99.8,90.0,top
U9,114.886308,-99.8,90.0,top
